x,y,z
4.576068115234375000e+01,2.998110771179199219e+00,1.370338439941406250e+00
4.590910339355468750e+01,3.007960319519042969e+00,1.370338439941406250e+00
4.605752944946289062e+01,3.017809867858886719e+00,1.370338439941406250e+00
4.620595550537109375e+01,3.027659893035888672e+00,1.370338439941406250e+00
4.635437774658203125e+01,3.037509441375732422e+00,1.370338439941406250e+00
4.650280380249023438e+01,3.047358989715576172e+00,1.370338439941406250e+00
4.665122985839843750e+01,3.057208776473999023e+00,1.370338439941406250e+00
4.679965591430664062e+01,3.067058563232421875e+00,1.370338439941406250e+00
4.694808197021484375e+01,3.076908111572265625e+00,1.370338439941406250e+00
4.709650421142578125e+01,3.086757898330688477e+00,1.370338439941406250e+00
4.724493026733398438e+01,3.096607685089111328e+00,1.370338439941406250e+00
4.739335632324218750e+01,3.106457233428955078e+00,1.370338439941406250e+00
4.754178237915039062e+01,3.116307020187377930e+00,1.370338439941406250e+00
4.769020843505859375e+01,3.126156806945800781e+00,1.370338439941406250e+00
4.783863067626953125e+01,3.136006355285644531e+00,1.370338439941406250e+00
4.798705673217773438e+01,3.145856142044067383e+00,1.370338559150695801e+00
4.813548278808593750e+01,3.155705928802490234e+00,1.370338439941406250e+00
4.828390884399414062e+01,3.165555477142333984e+00,1.370338439941406250e+00
4.843233108520507812e+01,3.175405263900756836e+00,1.370338439941406250e+00
4.858075714111328125e+01,3.185255050659179688e+00,1.370338439941406250e+00
4.872917938232421875e+01,3.195104598999023438e+00,1.370338439941406250e+00
4.887760925292968750e+01,3.204954385757446289e+00,1.370338439941406250e+00
4.902603149414062500e+01,3.214804172515869141e+00,1.370338559150695801e+00
4.917445755004882812e+01,3.224653720855712891e+00,1.370338439941406250e+00
4.932287979125976562e+01,3.234503507614135742e+00,1.370338439941406250e+00
4.947130966186523438e+01,3.244353294372558594e+00,1.370338439941406250e+00
4.961973190307617188e+01,3.254202842712402344e+00,1.370338439941406250e+00
4.976815795898437500e+01,3.264052629470825195e+00,1.370338439941406250e+00
4.991658020019531250e+01,3.273902416229248047e+00,1.370338439941406250e+00
5.006501007080078125e+01,3.283752202987670898e+00,1.370338439941406250e+00
5.021343231201171875e+01,3.293601751327514648e+00,1.370338439941406250e+00
5.036185836791992188e+01,3.303451538085937500e+00,1.370338559150695801e+00
5.051028060913085938e+01,3.313301086425781250e+00,1.370338439941406250e+00
5.065870666503906250e+01,3.323151111602783203e+00,1.370338439941406250e+00
5.080713272094726562e+01,3.333000659942626953e+00,1.370338439941406250e+00
5.095555877685546875e+01,3.342850446701049805e+00,1.370338559150695801e+00
5.110398101806640625e+01,3.352699995040893555e+00,1.370338439941406250e+00
5.125240707397460938e+01,3.362549543380737305e+00,1.370338559150695801e+00
5.140083312988281250e+01,3.372399330139160156e+00,1.370338559150695801e+00
5.154925918579101562e+01,3.382248878479003906e+00,1.370338439941406250e+00
5.169768142700195312e+01,3.392098665237426758e+00,1.370338439941406250e+00
5.184610748291015625e+01,3.401948451995849609e+00,1.370338559150695801e+00
5.199453353881835938e+01,3.411798000335693359e+00,1.370338559150695801e+00
5.214295959472656250e+01,3.421647787094116211e+00,1.370338439941406250e+00
5.229138183593750000e+01,3.431497573852539062e+00,1.370338559150695801e+00
5.243980789184570312e+01,3.441347122192382812e+00,1.370338559150695801e+00
5.258823394775390625e+01,3.451196908950805664e+00,1.370338439941406250e+00
5.273666000366210938e+01,3.461046695709228516e+00,1.370338559150695801e+00
5.288508605957031250e+01,3.470896244049072266e+00,1.370338559150695801e+00
5.303350830078125000e+01,3.480746030807495117e+00,1.370338439941406250e+00
5.318193054199218750e+01,3.490595817565917969e+00,1.370338559150695801e+00
5.333036041259765625e+01,3.500445365905761719e+00,1.370338559150695801e+00
5.347878265380859375e+01,3.510295152664184570e+00,1.370338559150695801e+00
5.362720870971679688e+01,3.520144939422607422e+00,1.370338439941406250e+00
5.377563476562500000e+01,3.529994487762451172e+00,1.370338439941406250e+00
5.392406082153320312e+01,3.539844274520874023e+00,1.370338439941406250e+00
5.407248687744140625e+01,3.549694061279296875e+00,1.370338439941406250e+00
5.422090911865234375e+01,3.559543848037719727e+00,1.370338559150695801e+00
5.436933135986328125e+01,3.569393396377563477e+00,1.370338559150695801e+00
5.451775741577148438e+01,3.579243183135986328e+00,1.370338559150695801e+00
5.466618728637695312e+01,3.589092731475830078e+00,1.370338559150695801e+00
5.481460952758789062e+01,3.598942518234252930e+00,1.370338559150695801e+00
5.496303558349609375e+01,3.608792304992675781e+00,1.370338559150695801e+00
5.511145782470703125e+01,3.618642091751098633e+00,1.370338439941406250e+00
5.525988769531250000e+01,3.628491640090942383e+00,1.370338439941406250e+00
5.540830993652343750e+01,3.638341426849365234e+00,1.370338439941406250e+00
5.555673599243164062e+01,3.648190975189208984e+00,1.370338439941406250e+00
5.570516204833984375e+01,3.658040761947631836e+00,1.370338559150695801e+00
5.585358810424804688e+01,3.667890548706054688e+00,1.370338559150695801e+00
5.600201416015625000e+01,3.677740335464477539e+00,1.370338559150695801e+00
5.615043640136718750e+01,3.687589883804321289e+00,1.370338559150695801e+00
5.629885864257812500e+01,3.697439670562744141e+00,1.370338559150695801e+00
